Orthographic,Phonemic,Orthographic_Unicode,Phoneme_Unicode
ㄱ,@,U+3131,U+0040
ㄲ,@,U+3132,U+0040
ㄴ,@,U+3134,U+0040
ㄷ,@,U+3137,U+0040
ㄸ,@,U+3138,U+0040
ㄹ,@,U+3139,U+0040
ㅁ,@,U+3141,U+0040
ㅂ,@,U+3142,U+0040
ㅃ,@,U+3143,U+0040
ㅅ,@,U+3145,U+0040
ㅆ,@,U+3146,U+0040
ㅇ,@,U+3147,U+0040
ㅈ,@,U+3148,U+0040
ㅉ,@,U+3149,U+0040
ㅊ,@,U+314A,U+0040
ㅋ,@,U+314B,U+0040
ㅌ,@,U+314C,U+0040
ㅍ,@,U+314D,U+0040
ㅎ,@,U+314E,U+0040
ㅏ,@,U+314F,U+0040
ㅐ,@,U+3150,U+0040
ㅑ,@,U+3151,U+0040
ㅒ,@,U+3152,U+0040
ㅓ,@,U+3153,U+0040
ㅔ,@,U+3154,U+0040
ㅕ,@,U+3155,U+0040
ㅖ,@,U+3156,U+0040
ㅗ,@,U+3157,U+0040
ㅘ,@,U+3158,U+0040
ㅙ,@,U+3159,U+0040
ㅚ,@,U+315A,U+0040
ㅛ,@,U+315B,U+0040
ㅜ,@,U+315C,U+0040
ㅝ,@,U+315D,U+0040
ㅞ,@,U+315E,U+0040
ㅟ,@,U+315F,U+0040
ㅠ,@,U+3160,U+0040
ㅡ,@,U+3161,U+0040
ㅢ,@,U+3162,U+0040
ㅣ,@,U+3163,U+0040
가,ka,U+AC00,U+006B U+0061
각,kak,U+AC01,U+006B U+0061 U+006B
간,kan,U+AC04,U+006B U+0061 U+006E
갇,kat,U+AC07,U+006B U+0061 U+0074
갈,kal,U+AC08,U+006B U+0061 U+006C
갉,kalk,U+AC09,U+006B U+0061 U+006C U+006B
갋,kalp,U+AC0B,U+006B U+0061 U+006C U+0070
감,kam,U+AC10,U+006B U+0061 U+006D
갑,kap,U+AC11,U+006B U+0061 U+0070
값,kaps,U+AC12,U+006B U+0061 U+0070 U+0073
갓,kas,U+AC13,U+006B U+0061 U+0073
강,kaŋ,U+AC15,U+006B U+0061 U+014B
갖,katʃ,U+AC16,U+006B U+0061 U+0074 U+0283
갗,katʃʰ,U+AC17,U+006B U+0061 U+0074 U+0283 U+02B0
같,katʰ,U+AC19,U+006B U+0061 U+0074 U+02B0
갚,kapʰ,U+AC1A,U+006B U+0061 U+0070 U+02B0
갛,kah,U+AC1B,U+006B U+0061 U+0068
개,kɛ,U+AC1C,U+006B U+025B
객,kɛk,U+AC1D,U+006B U+025B U+006B
갠,kɛn,U+AC20,U+006B U+025B U+006E
갤,kɛl,U+AC24,U+006B U+025B U+006C
갬,kɛm,U+AC2C,U+006B U+025B U+006D
갭,kɛp,U+AC2D,U+006B U+025B U+0070
갯,kɛs,U+AC2F,U+006B U+025B U+0073
갱,kɛŋ,U+AC31,U+006B U+025B U+014B
갸,kja,U+AC38,U+006B U+006A U+0061
갹,kjak,U+AC39,U+006B U+006A U+0061 U+006B
걀,kjal,U+AC40,U+006B U+006A U+0061 U+006C
걍,kjaŋ,U+AC4D,U+006B U+006A U+0061 U+014B
거,kʌ,U+AC70,U+006B U+028C
걱,kʌk,U+AC71,U+006B U+028C U+006B
건,kʌn,U+AC74,U+006B U+028C U+006E
걷,kʌt,U+AC77,U+006B U+028C U+0074
걸,kʌl,U+AC78,U+006B U+028C U+006C
검,kʌm,U+AC80,U+006B U+028C U+006D
겁,kʌp,U+AC81,U+006B U+028C U+0070
것,kʌs,U+AC83,U+006B U+028C U+0073
겅,kʌŋ,U+AC85,U+006B U+028C U+014B
겆,kʌtʃ,U+AC86,U+006B U+028C U+0074 U+0283
겉,kʌtʰ,U+AC89,U+006B U+028C U+0074 U+02B0
겊,kʌpʰ,U+AC8A,U+006B U+028C U+0070 U+02B0
겋,kʌh,U+AC8B,U+006B U+028C U+0068
게,ke,U+AC8C,U+006B U+0065
겐,ken,U+AC90,U+006B U+0065 U+006E
겔,kel,U+AC94,U+006B U+0065 U+006C
겜,kem,U+AC9C,U+006B U+0065 U+006D
겟,kes,U+AC9F,U+006B U+0065 U+0073
겡,keŋ,U+ACA1,U+006B U+0065 U+014B
겨,kjʌ,U+ACA8,U+006B U+006A U+028C
격,kjʌk,U+ACA9,U+006B U+006A U+028C U+006B
겪,kjʌk͈,U+ACAA,U+006B U+006A U+028C U+006B U+0348
견,kjʌn,U+ACAC,U+006B U+006A U+028C U+006E
겯,kjʌt,U+ACAF,U+006B U+006A U+028C U+0074
결,kjʌl,U+ACB0,U+006B U+006A U+028C U+006C
겸,kjʌm,U+ACB8,U+006B U+006A U+028C U+006D
겹,kjʌp,U+ACB9,U+006B U+006A U+028C U+0070
겻,kjʌs,U+ACBB,U+006B U+006A U+028C U+0073
경,kjʌŋ,U+ACBD,U+006B U+006A U+028C U+014B
곁,kjʌtʰ,U+ACC1,U+006B U+006A U+028C U+0074 U+02B0
계,kje,U+ACC4,U+006B U+006A U+0065
곕,kjep,U+ACD5,U+006B U+006A U+0065 U+0070
곗,kjes,U+ACD7,U+006B U+006A U+0065 U+0073
고,ko,U+ACE0,U+006B U+006F
곡,kok,U+ACE1,U+006B U+006F U+006B
곤,kon,U+ACE4,U+006B U+006F U+006E
곧,kot,U+ACE7,U+006B U+006F U+0074
골,kol,U+ACE8,U+006B U+006F U+006C
곪,kolm,U+ACEA,U+006B U+006F U+006C U+006D
곬,kols,U+ACEC,U+006B U+006F U+006C U+0073
곯,kolh,U+ACEF,U+006B U+006F U+006C U+0068
곰,kom,U+ACF0,U+006B U+006F U+006D
곱,kop,U+ACF1,U+006B U+006F U+0070
곳,kos,U+ACF3,U+006B U+006F U+0073
공,koŋ,U+ACF5,U+006B U+006F U+014B
곶,kotʃ,U+ACF6,U+006B U+006F U+0074 U+0283
과,kwa,U+ACFC,U+006B U+0077 U+0061
곽,kwak,U+ACFD,U+006B U+0077 U+0061 U+006B
관,kwan,U+AD00,U+006B U+0077 U+0061 U+006E
괄,kwal,U+AD04,U+006B U+0077 U+0061 U+006C
괌,kwam,U+AD0C,U+006B U+0077 U+0061 U+006D
괏,kwas,U+AD0F,U+006B U+0077 U+0061 U+0073
광,kwaŋ,U+AD11,U+006B U+0077 U+0061 U+014B
괘,kwɛ,U+AD18,U+006B U+0077 U+025B
괜,kwɛn,U+AD1C,U+006B U+0077 U+025B U+006E
괠,kwɛl,U+AD20,U+006B U+0077 U+025B U+006C
괫,kwɛs,U+AD2B,U+006B U+0077 U+025B U+0073
괭,kwɛŋ,U+AD2D,U+006B U+0077 U+025B U+014B
괴,kø,U+AD34,U+006B U+00F8
괵,køk,U+AD35,U+006B U+00F8 U+006B
굄,køm,U+AD44,U+006B U+00F8 U+006D
굇,køs,U+AD47,U+006B U+00F8 U+0073
굉,køŋ,U+AD49,U+006B U+00F8 U+014B
교,kjo,U+AD50,U+006B U+006A U+006F
굣,kjos,U+AD63,U+006B U+006A U+006F U+0073
구,ku,U+AD6C,U+006B U+0075
국,kuk,U+AD6D,U+006B U+0075 U+006B
군,kun,U+AD70,U+006B U+0075 U+006E
굳,kut,U+AD73,U+006B U+0075 U+0074
굴,kul,U+AD74,U+006B U+0075 U+006C
굵,kulk,U+AD75,U+006B U+0075 U+006C U+006B
굶,kulm,U+AD76,U+006B U+0075 U+006C U+006D
굻,kulh,U+AD7B,U+006B U+0075 U+006C U+0068
굼,kum,U+AD7C,U+006B U+0075 U+006D
굽,kup,U+AD7D,U+006B U+0075 U+0070
굿,kus,U+AD7F,U+006B U+0075 U+0073
궁,kuŋ,U+AD81,U+006B U+0075 U+014B
궂,kutʃ,U+AD82,U+006B U+0075 U+0074 U+0283
궈,kwʌ,U+AD88,U+006B U+0077 U+028C
궉,kwʌk,U+AD89,U+006B U+0077 U+028C U+006B
권,kwʌn,U+AD8C,U+006B U+0077 U+028C U+006E
궐,kwʌl,U+AD90,U+006B U+0077 U+028C U+006C
궤,kwe,U+ADA4,U+006B U+0077 U+0065
귀,kwi,U+ADC0,U+006B U+0077 U+0069
귄,kwin,U+ADC4,U+006B U+0077 U+0069 U+006E
귐,kwim,U+ADD0,U+006B U+0077 U+0069 U+006D
귓,kwis,U+ADD3,U+006B U+0077 U+0069 U+0073
규,kju,U+ADDC,U+006B U+006A U+0075
균,kjun,U+ADE0,U+006B U+006A U+0075 U+006E
귤,kjul,U+ADE4,U+006B U+006A U+0075 U+006C
그,kɨ,U+ADF8,U+006B U+0268
극,kɨk,U+ADF9,U+006B U+0268 U+006B
근,kɨn,U+ADFC,U+006B U+0268 U+006E
귿,kɨt,U+ADFF,U+006B U+0268 U+0074
글,kɨl,U+AE00,U+006B U+0268 U+006C
긁,kɨlk,U+AE01,U+006B U+0268 U+006C U+006B
금,kɨm,U+AE08,U+006B U+0268 U+006D
급,kɨp,U+AE09,U+006B U+0268 U+0070
긋,kɨs,U+AE0B,U+006B U+0268 U+0073
긍,kɨŋ,U+AE0D,U+006B U+0268 U+014B
긔,kɨi,U+AE14,U+006B U+0268 U+0069
기,ki,U+AE30,U+006B U+0069
긱,kik,U+AE31,U+006B U+0069 U+006B
긴,kin,U+AE34,U+006B U+0069 U+006E
긷,kit,U+AE37,U+006B U+0069 U+0074
길,kil,U+AE38,U+006B U+0069 U+006C
김,kim,U+AE40,U+006B U+0069 U+006D
깁,kip,U+AE41,U+006B U+0069 U+0070
깃,kis,U+AE43,U+006B U+0069 U+0073
깅,kiŋ,U+AE45,U+006B U+0069 U+014B
깆,kitʃ,U+AE46,U+006B U+0069 U+0074 U+0283
깊,kipʰ,U+AE4A,U+006B U+0069 U+0070 U+02B0
까,k͈a,U+AE4C,U+006B U+0348 U+0061
깍,k͈ak,U+AE4D,U+006B U+0348 U+0061 U+006B
깎,k͈ak͈,U+AE4E,U+006B U+0348 U+0061 U+006B U+0348
깐,k͈an,U+AE50,U+006B U+0348 U+0061 U+006E
깔,k͈al,U+AE54,U+006B U+0348 U+0061 U+006C
깜,k͈am,U+AE5C,U+006B U+0348 U+0061 U+006D
깝,k͈ap,U+AE5D,U+006B U+0348 U+0061 U+0070
깟,k͈as,U+AE5F,U+006B U+0348 U+0061 U+0073
깡,k͈aŋ,U+AE61,U+006B U+0348 U+0061 U+014B
깥,k͈atʰ,U+AE65,U+006B U+0348 U+0061 U+0074 U+02B0
깨,k͈ɛ,U+AE68,U+006B U+0348 U+025B
깩,k͈ɛk,U+AE69,U+006B U+0348 U+025B U+006B
